STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
PERTH-AIRPORT,9021,-31.93,115.98,r1i1p1,rcp45,MIROC5,2060-2079,62.47,47.61,62.89,79.29,60.25,51.68,73.4,46.46,47.41,54.55,60.56,73.57,79.97,80.77,77.14,69.51,59.48,51.75,48.48
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,r1i1p1,rcp45,MIROC5,2060-2079,43.47,56.5,43.61,37.76,36.16,50.16,36.93,57.75,62.34,50.89,39.54,40.41,42.47,37.39,33.43,32.84,35.04,40.59,48.96
RICHMOND-RAAF,67105,-33.6,150.78,r1i1p1,rcp45,MIROC5,2060-2079,76.03,77.04,80.79,78.87,67.45,77.05,75.15,75.23,84.03,79.57,77.63,85.19,84.54,79.91,72.16,66.66,62.42,73.26,71.83
ROCKHAMPTON-AERO,39083,-23.38,150.48,r1i1p1,rcp45,MIROC5,2060-2079,67.55,69.15,70.62,68.75,61.85,68.18,67.05,68.86,73.21,71.36,69.28,71.22,70.63,68.18,67.45,62.46,62.37,60.72,64.88
SYDNEY-AIRPORT-AMO,66037,-33.94,151.17,r1i1p1,rcp45,MIROC5,2060-2079,68.87,72.25,72.33,67.51,63.33,71.49,66.29,70.98,77.3,72.57,70.08,74.34,71.57,68.25,62.72,60.65,60.2,69.13,68.61
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,r1i1p1,rcp45,MIROC5,2060-2079,37.34,47.39,39.29,33.11,29.59,43.06,31.62,46.08,53.53,44.1,35.26,38.52,38.12,33.05,28.16,24.27,27.6,36.9,42.49
TOWNSVILLE-AERO,32040,-19.25,146.77,r1i1p1,rcp45,MIROC5,2060-2079,65.16,68.99,67.21,62.57,61.82,67.83,62.46,67.17,72.73,70.13,65.74,65.76,64.17,61.69,61.85,59.13,62.18,64.13,67.24
WAGGA-WAGGA-AMO,72150,-35.16,147.46,r1i1p1,rcp45,MIROC5,2060-2079,70.04,55.95,69.61,85.4,69.07,59.44,80.56,53.26,61.37,59.57,67.2,82.06,87.94,86.71,81.56,77.85,67.24,62.12,53.64
WILLIAMTOWN-RAAF,61078,-32.79,151.84,r1i1p1,rcp45,MIROC5,2060-2079,74.86,75.55,79.52,76.39,68,75.84,73.97,73.66,81.55,78.88,76.46,83.23,81.5,76.58,71.08,67.46,63.96,72.58,71.43
WOOMERA-AERODROME,16001,-31.16,136.81,r1i1p1,rcp45,MIROC5,2060-2079,54.86,46.7,55.78,70.34,46.59,47.94,61.86,44.91,48.63,49.95,52.19,65.22,76.04,72.13,62.84,51.17,43.77,44.83,46.7
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,r1i1p1,rcp45,MIROC5,2080-2099,62.75,53.63,63.49,75.54,58.46,55.77,69.82,54.01,53.81,58.69,60.79,70.99,79.08,78.19,69.35,64.3,57.01,54.07,52.7
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,r1i1p1,rcp45,MIROC5,2080-2099,73.4,63.88,76.16,82.18,71.32,67.62,79.19,63.62,64.83,70.82,76.26,81.39,83.53,83.45,79.58,76.39,70.82,66.74,63.38
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,r1i1p1,rcp45,MIROC5,2080-2099,40.2,34.28,42.08,55.63,28.51,34.45,45.83,30.24,36.68,35.04,39.68,51.52,64.39,59.6,42.89,28.85,27.76,28.93,36.8
AMBERLEY-AMO,40004,-27.63,152.71,r1i1p1,rcp45,MIROC5,2080-2099,67.6,66.2,72.45,73.7,58.21,66.23,69.06,64.83,71.27,68.93,70.62,77.8,79.87,73.68,67.54,58.05,57.45,59.12,62.05
BRISBANE-AERO,40842,-27.39,153.13,r1i1p1,rcp45,MIROC5,2080-2099,66.22,66.7,70.68,67.76,59.71,66.75,65.64,65.63,71.17,69.07,70.13,72.84,72.37,67.71,63.2,58.11,59.59,61.43,63.36
BROOME-AIRPORT,3003,-17.95,122.23,r1i1p1,rcp45,MIROC5,2080-2099,55.92,69.04,57.18,43.56,53.87,65.3,46.59,69.14,74.68,71.1,54.09,46.35,46.49,42.61,41.57,48.07,54.44,59.09,63.36
CAIRNS-AERO,31011,-16.87,145.75,r1i1p1,rcp45,MIROC5,2080-2099,71.71,72.87,76.05,72.36,65.67,73.42,70.11,73.22,75.8,76.95,77.9,73.31,74.25,72.39,70.45,65.51,64.73,66.77,69.27
CANBERRA-AIRPORT-COMPARISON,70014,-35.3,149.2,r1i1p1,rcp45,MIROC5,2080-2099,72.56,67.03,75,81.45,66.97,68.27,76.99,66.38,71.02,70.39,72.49,82.13,85.13,83.73,75.48,71.23,64.23,65.46,63.04
CARNARVON-AIRPORT,6011,-24.89,113.67,r1i1p1,rcp45,MIROC5,2080-2099,58.15,57.94,58.84,64.39,51.44,56.65,59.68,57.05,60.04,57.71,56.47,62.35,66.88,67.73,58.55,52.85,49.73,51.75,56.63
CEDUNA-AMO,18012,-32.13,133.7,r1i1p1,rcp45,MIROC5,2080-2099,64.18,59.25,65.59,75.2,56.86,59.45,69.03,58.4,62.78,63.44,62.27,71.04,78.08,77.01,70.51,63.23,54.29,53.05,56.01
CHARLEVILLE-AERO,44021,-26.42,146.25,r1i1p1,rcp45,MIROC5,2080-2099,48.14,45.42,49.7,60.48,37.15,44.47,52.03,41.72,55.44,45.84,45.84,57.4,66.65,63.54,51.24,39.06,34.26,38.14,38.53
COBAR-MO,48027,-31.49,145.83,r1i1p1,rcp45,MIROC5,2080-2099,55.42,44.78,56.94,72.91,47.46,46.69,64.51,44.2,50.29,49.32,52.2,69.3,77.99,75.53,65.21,53.89,45.13,43.36,38.64
COFFS-HARBOUR-MO,59040,-30.31,153.12,r1i1p1,rcp45,MIROC5,2080-2099,67.08,71.4,71.84,65.71,59.44,70.59,63.6,70.74,75.97,74.14,69.57,71.83,71.69,66.08,59.38,55.05,57.59,65.67,67.32
DARWIN-AIRPORT,14015,-12.42,130.89,r1i1p1,rcp45,MIROC5,2080-2099,70.34,79.21,73.02,60.67,68.32,77.25,63.36,80.89,82.17,81.54,73.42,64.11,59.05,60.29,62.68,66.21,67.81,70.94,74.95
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,r1i1p1,rcp45,MIROC5,2080-2099,69.4,59.45,69.13,85.27,64.11,60.89,78.24,58.32,65.27,63.04,65.18,79.17,88.16,87.12,80.14,72.52,61.07,58.26,53.92
EAST-SALE-AIRPORT,85072,-38.12,147.13,r1i1p1,rcp45,MIROC5,2080-2099,76.88,72.33,80.56,82.79,72.13,74.38,79.6,71.34,75.75,78.56,79.03,84.09,85.37,83.8,79.2,75.61,69.51,71.25,69.08
ESPERANCE,9789,-33.83,121.89,r1i1p1,rcp45,MIROC5,2080-2099,66.13,58.3,68.92,75.26,62.12,60.78,71.53,57.38,59.55,64.23,68.37,74.15,76.89,76.76,72.13,67.52,61.69,57.13,57.74
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,r1i1p1,rcp45,MIROC5,2080-2099,59.27,47.97,59.63,75.12,54.28,49.86,68.69,47.22,49.42,53.03,56.62,69.23,73.85,77.75,73.77,66.17,51.38,45.29,47.49
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,r1i1p1,rcp45,MIROC5,2080-2099,68.17,62.48,70.41,76.2,63.8,64.53,71.96,62.17,64.96,68.02,69.46,73.75,78.78,77.82,72.01,65.51,63.88,62,59.61
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,r1i1p1,rcp45,MIROC5,2080-2099,54.73,44.64,60.18,68.1,46.1,48.01,61.4,42.38,48.51,52.78,58.2,68.49,73.08,69.62,61.61,51.57,44,42.73,42.4
LAUNCESTON-AIRPORT-COMPARISON,91104,-41.54,147.2,r1i1p1,rcp45,MIROC5,2080-2099,76.91,67.65,78.6,87.24,74.23,70.64,83.2,67.44,71.02,73.38,77.51,84.91,88.29,88.99,84.45,77.47,75.11,70.11,64.28
LAVERTON-RAAF,87031,-37.86,144.76,r1i1p1,rcp45,MIROC5,2080-2099,73.02,66.58,75.78,81.51,68.6,68.79,77.56,65.62,68.5,71.94,74.11,81.29,83.46,82.81,78.27,73.69,65.85,66.25,64.43
MACKAY-M.O,33119,-21.12,149.22,r1i1p1,rcp45,MIROC5,2080-2099,72.34,72.58,76.39,75.37,65.21,72.85,72.04,72.59,76.99,76.18,77.21,75.79,77.51,75.26,73.35,65.43,64.92,65.29,67.53
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,r1i1p1,rcp45,MIROC5,2080-2099,42.68,33,46.92,56.88,33.55,36.28,48.99,29.79,39.65,40.18,46.41,54.16,62.69,59.77,48.18,37.75,31.41,31.51,29.93
MELBOURNE-AIRPORT,86282,-37.68,144.84,r1i1p1,rcp45,MIROC5,2080-2099,71.34,65.3,73.64,79.22,67.59,67.39,75.6,64.57,67.11,70.51,71.48,78.94,81.62,80.34,75.69,72.08,64.92,65.78,63.01
MILDURA-AIRPORT,76031,-34.23,142.08,r1i1p1,rcp45,MIROC5,2080-2099,64.57,51.33,67.1,81.88,58.19,54.92,74.43,51.13,53.91,59.08,63.95,78.28,85.55,84.52,75.58,68.14,54.53,51.89,48.25
MOREE-AERO,53115,-29.49,149.85,r1i1p1,rcp45,MIROC5,2080-2099,61.16,58.08,60.94,72.66,53.2,57,65.45,55.57,64.54,58.61,56.36,67.86,75.97,74.71,67.3,56.3,50.55,52.76,53.45
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,r1i1p1,rcp45,MIROC5,2080-2099,75.7,66.5,77.88,86.71,71.95,69.39,82.19,64.69,68.4,72.48,75.47,85.69,89.86,88.16,82.11,77.69,69.62,68.53,65.69
MOUNT-ISA-AERO,29127,-20.68,139.49,r1i1p1,rcp45,MIROC5,2080-2099,39.18,48.11,40.59,39.25,28.7,44.01,34.38,47.5,53.88,46.23,37.43,38.11,45.21,41.38,31.15,25.52,24.89,35.7,43.18
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,r1i1p1,rcp45,MIROC5,2080-2099,69.91,73.43,72.84,70.12,63.23,72.11,67.82,73.21,77.78,74.42,69.55,74.54,73.58,72.02,64.77,61.29,60.11,68.1,68.81
PERTH-AIRPORT,9021,-31.93,115.98,r1i1p1,rcp45,MIROC5,2080-2099,62.56,47.69,63.39,79,60.16,51.71,73.43,45.89,49.17,54.79,61.01,74.37,79.5,81.02,76.47,69.51,59.71,51.27,48.04
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,r1i1p1,rcp45,MIROC5,2080-2099,42.87,55.15,42.52,38.34,35.25,48.62,37.07,55.73,61.87,49.55,37.96,40.05,43.61,38.17,33.25,32.98,34.33,38.43,48.57
RICHMOND-RAAF,67105,-33.6,150.78,r1i1p1,rcp45,MIROC5,2080-2099,74.22,75.22,79.14,78.15,64.57,74.77,73.81,74.54,80.05,78.34,76.11,82.97,83.53,80.03,70.9,64.67,60.77,68.26,70.45
ROCKHAMPTON-AERO,39083,-23.38,150.48,r1i1p1,rcp45,MIROC5,2080-2099,66.33,67.76,67.97,69.18,60.6,66.52,66.36,67.56,71.98,67.76,67.74,68.41,71.78,68.97,66.78,61.39,60.81,59.6,63.14
SYDNEY-AIRPORT-AMO,66037,-33.94,151.17,r1i1p1,rcp45,MIROC5,2080-2099,67.51,71,71.15,66.75,61.28,69.89,65.22,70.52,74.25,72.03,68.89,72.54,70.67,67.97,61.62,59.38,59.16,65.29,67.86
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,r1i1p1,rcp45,MIROC5,2080-2099,37.23,48.95,37.86,33.91,28.12,43.15,31.28,48.31,53.61,42.72,35.05,35.81,39.99,34.63,27.1,23.82,26.34,34.2,45.21
TOWNSVILLE-AERO,32040,-19.25,146.77,r1i1p1,rcp45,MIROC5,2080-2099,63.35,67.4,64.39,62.25,59.52,65.88,60.96,66.61,70.19,67.39,63.28,62.48,64.02,62.12,60.62,56.38,60.17,62,64.96
WAGGA-WAGGA-AMO,72150,-35.16,147.46,r1i1p1,rcp45,MIROC5,2080-2099,68.14,53.94,67.5,84.34,67.12,57.28,79.24,52.55,56.95,57.77,65.09,79.65,86.34,86.27,80.41,76.56,66.21,58.58,51.32
WILLIAMTOWN-RAAF,61078,-32.79,151.84,r1i1p1,rcp45,MIROC5,2080-2099,73.65,74.63,78.67,75.8,65.7,74.56,72.85,73.18,79.53,78.6,75.94,81.47,80.63,76.78,69.98,65.35,62.9,68.84,70.66
WOOMERA-AERODROME,16001,-31.16,136.81,r1i1p1,rcp45,MIROC5,2080-2099,52.33,43.61,51.74,69.06,45.03,44.25,60.52,44.41,43.94,44.83,48.07,62.33,74.55,71.28,61.35,50.79,42.83,41.47,42.14
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,r1i1p1,rcp45,NorESM1-M,2020-2039,62.76,53.19,64.48,75.34,57.98,55.95,69.56,52.52,52.56,59.77,61.02,72.66,78.75,77.42,69.84,62.84,55.84,55.25,54.62
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,r1i1p1,rcp45,NorESM1-M,2020-2039,72.83,63.8,74.98,81.97,70.62,67.17,78.56,63.99,64.16,70.13,74.83,79.97,83.87,82.64,79.4,75.75,69.74,66.38,63.07
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,r1i1p1,rcp45,NorESM1-M,2020-2039,41.7,34.04,45.03,56.75,31.13,35.39,48.08,31.19,38.94,39.56,40.24,55.28,61.98,61.02,47.27,32.84,30.11,30.43,31.51
AMBERLEY-AMO,40004,-27.63,152.71,r1i1p1,rcp45,NorESM1-M,2020-2039,67.35,66.18,72.11,72.4,58.74,66.24,68.49,64.84,69.69,68.73,71.04,76.55,77.7,72.64,66.86,59.01,58.2,59,63.95
BRISBANE-AERO,40842,-27.39,153.13,r1i1p1,rcp45,NorESM1-M,2020-2039,65.47,66.32,69.8,65.98,59.73,66.33,64.57,65.14,69.22,68.73,69.34,71.33,69.8,66.28,61.87,58.52,59.63,61.04,64.71
BROOME-AIRPORT,3003,-17.95,122.23,r1i1p1,rcp45,NorESM1-M,2020-2039,57.33,73.18,58.05,44.68,53.4,67.42,47.25,73.75,79.21,72.95,53.91,47.29,45.88,44.06,44.11,48.51,53.62,58.07,66.55
CAIRNS-AERO,31011,-16.87,145.75,r1i1p1,rcp45,NorESM1-M,2020-2039,72.46,74.66,76.51,72.04,66.59,74.27,70.67,73.63,79.36,76.52,76.56,76.46,74.08,71.98,70.05,66.33,65.11,68.32,71.11
CANBERRA-AIRPORT-COMPARISON,70014,-35.3,149.2,r1i1p1,rcp45,NorESM1-M,2020-2039,72.29,65.95,74.96,82,66.11,67.7,76.82,65.11,70.06,70.02,73.44,81.41,85.06,84.56,76.37,70.22,63.33,64.79,63.07
CARNARVON-AIRPORT,6011,-24.89,113.67,r1i1p1,rcp45,NorESM1-M,2020-2039,56.36,56.85,55.83,61.78,50.97,55.64,57.07,57.5,57.66,57.85,54.98,54.65,62.38,64.63,58.33,52.39,50.06,50.47,55.38
CEDUNA-AMO,18012,-32.13,133.7,r1i1p1,rcp45,NorESM1-M,2020-2039,63.25,57.73,65.73,73.48,56.12,58.84,67.78,55.81,61.18,64.74,61.01,71.44,75.96,75.3,69.18,62.02,52.78,53.58,55.96
CHARLEVILLE-AERO,44021,-26.42,146.25,r1i1p1,rcp45,NorESM1-M,2020-2039,49.3,46.27,50.57,60.19,39.99,44.99,53.49,44.03,54.99,43.72,47.27,60.73,65.79,62.34,52.43,42.14,37.53,40.31,40.27
COBAR-MO,48027,-31.49,145.83,r1i1p1,rcp45,NorESM1-M,2020-2039,56.31,44.65,58.95,72.68,48.87,47.87,64.78,42.44,50.15,50.88,54.98,70.98,77.11,75.25,65.68,53.35,46.32,46.93,41.69
COFFS-HARBOUR-MO,59040,-30.31,153.12,r1i1p1,rcp45,NorESM1-M,2020-2039,66.68,71.18,71.61,64.93,59.03,70.35,63.02,70.53,75.7,74.24,69.65,70.94,69.79,66.33,58.69,54.54,57.82,64.72,67.25
DARWIN-AIRPORT,14015,-12.42,130.89,r1i1p1,rcp45,NorESM1-M,2020-2039,70.17,79.89,71.81,60.43,68.6,76.99,63.39,80.22,84.09,80.27,71.41,63.77,58.38,59.34,63.58,67.47,67.77,70.57,75.22
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,r1i1p1,rcp45,NorESM1-M,2020-2039,69.21,59.06,70.13,84.11,63.33,61.24,77.27,57.77,64.02,63.95,67.12,79.33,86.53,85.93,79.52,71.18,59.86,58.44,55.48
EAST-SALE-AIRPORT,85072,-38.12,147.13,r1i1p1,rcp45,NorESM1-M,2020-2039,77.6,73.15,81.84,83.11,72.25,75.34,79.85,71.85,76.82,80.2,80.92,84.41,85.11,84.84,79.39,76.1,69.23,71.4,70.95
ESPERANCE,9789,-33.83,121.89,r1i1p1,rcp45,NorESM1-M,2020-2039,65.51,58.16,68.44,74.4,61.24,60.65,70.49,57.1,58.68,64.03,68.57,72.71,76.42,75.76,71.02,67.11,59.93,56.7,58.1
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,r1i1p1,rcp45,NorESM1-M,2020-2039,58.29,47.42,57.45,74.13,54.25,49.56,67.12,48.22,47.34,52.86,56.96,62.53,74.27,74.68,73.44,66,51.8,44.95,46.43
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,r1i1p1,rcp45,NorESM1-M,2020-2039,68.33,62.58,71.41,75.84,63.5,64.84,71.86,62.15,64.97,69.01,70.68,74.53,78.58,76.92,72.01,65.52,63.57,61.43,60.55
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,r1i1p1,rcp45,NorESM1-M,2020-2039,53.87,44.72,58.71,66.92,45.14,47.84,59.77,41.48,48.71,55.08,57.57,62.67,71.44,68.69,60.62,51.36,43.86,40.19,43.5
LAUNCESTON-AIRPORT-COMPARISON,91104,-41.54,147.2,r1i1p1,rcp45,NorESM1-M,2020-2039,77.57,68.31,80.29,87.45,74.29,71.55,83.63,67.75,71.77,75.67,79,86.21,89.18,88.64,84.52,78.02,75.18,69.68,65.22
LAVERTON-RAAF,87031,-37.86,144.76,r1i1p1,rcp45,NorESM1-M,2020-2039,73.32,67.6,75.96,80.93,68.74,69.37,77.23,66.32,69.28,72.2,74.39,81.28,82.54,82.85,77.4,73.49,65.84,66.88,67.41
MACKAY-M.O,33119,-21.12,149.22,r1i1p1,rcp45,NorESM1-M,2020-2039,73,73.56,76.88,74.57,67.04,73.12,72.91,72.66,77.84,75.27,76.82,78.53,76.52,73.86,73.35,68.3,66.93,65.9,70.06
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,r1i1p1,rcp45,NorESM1-M,2020-2039,40.55,33.12,45.03,52.74,31.02,35.93,45.04,29.95,40.21,43.04,45.92,46.12,56.94,55.55,45.73,35.3,30.58,27.18,29.36
MELBOURNE-AIRPORT,86282,-37.68,144.84,r1i1p1,rcp45,NorESM1-M,2020-2039,71.7,66.45,73.92,78.69,67.65,68.07,75.29,65.23,68.22,70.99,71.79,78.98,80.76,80.43,74.88,71.93,64.76,66.27,66.16
MILDURA-AIRPORT,76031,-34.23,142.08,r1i1p1,rcp45,NorESM1-M,2020-2039,65.06,52.31,67.93,81.76,58.17,56.11,74.04,51.16,53.5,59.49,64.38,79.91,84.4,84.89,75.99,65.78,53.3,55.44,52.46
MOREE-AERO,53115,-29.49,149.85,r1i1p1,rcp45,NorESM1-M,2020-2039,61.91,59.04,62.4,71.82,54.25,58.13,65.71,57.62,64.69,59.74,58.54,68.91,74.57,73.92,66.99,57.95,51.92,52.88,55.2
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,r1i1p1,rcp45,NorESM1-M,2020-2039,75.34,66.38,78.23,85.5,71.33,69.52,81.22,64.46,67.78,73.7,75.64,85.34,88.14,86.82,81.53,76.62,68.86,68.51,66.68
MOUNT-ISA-AERO,29127,-20.68,139.49,r1i1p1,rcp45,NorESM1-M,2020-2039,41.61,50.29,42.21,42.23,31.53,45.01,38.09,49.53,58.3,46.31,36.5,43.82,48.51,42.49,35.69,30.25,27.78,36.56,43.58
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,r1i1p1,rcp45,NorESM1-M,2020-2039,69.88,72.77,73.38,70.33,62.81,72.02,67.78,72.84,77.43,74.64,71.16,74.34,72.68,72.99,65.32,60.83,59.91,67.51,68.22
PERTH-AIRPORT,9021,-31.93,115.98,r1i1p1,rcp45,NorESM1-M,2020-2039,62.31,47.79,63.28,78.45,59.86,52.31,72.45,47.06,47.94,56.22,62.57,71.05,80.59,78.72,76.04,68.45,59.83,51.31,47.88
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,r1i1p1,rcp45,NorESM1-M,2020-2039,41.89,55.72,42.03,36.57,33.4,48.54,35.38,57.61,62.28,51.29,36.55,38.26,40.49,36.77,32.45,31.26,33.02,35.92,46.82
RICHMOND-RAAF,67105,-33.6,150.78,r1i1p1,rcp45,NorESM1-M,2020-2039,73.71,73.84,79.38,77.78,63.84,74.23,73.3,73.77,78.6,78.58,77.36,82.19,81.88,80.42,71.04,63.97,60.29,67.27,69.13
ROCKHAMPTON-AERO,39083,-23.38,150.48,r1i1p1,rcp45,NorESM1-M,2020-2039,66.24,67.83,67.6,67.94,61.75,66.18,66.43,67.24,70.66,66.4,67.23,69.16,69.86,67.24,66.71,63.65,61.94,59.66,65.08
SYDNEY-AIRPORT-AMO,66037,-33.94,151.17,r1i1p1,rcp45,NorESM1-M,2020-2039,67.22,70.15,71.39,66.65,60.64,69.61,64.87,70.41,73.55,72.17,70.12,71.88,69.55,68.64,61.75,58.78,58.6,64.52,66.6
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,r1i1p1,rcp45,NorESM1-M,2020-2039,38.4,48.79,38.15,37.19,29.49,42.88,33.92,47.57,55.38,42.95,32.98,38.53,42.63,37.52,31.41,26.53,26.9,35.06,43.36
TOWNSVILLE-AERO,32040,-19.25,146.77,r1i1p1,rcp45,NorESM1-M,2020-2039,64.17,68.57,64.94,62.54,60.56,66.4,61.91,66.83,72.78,66.52,63.38,64.9,64.15,61.96,61.51,58.28,60.64,62.75,66.28
WAGGA-WAGGA-AMO,72150,-35.16,147.46,r1i1p1,rcp45,NorESM1-M,2020-2039,67.8,53.15,67.39,84.5,66.01,56.81,78.69,51.57,55.87,57.7,65.61,78.87,86.2,86.65,80.66,75.41,64.37,58.25,52.41
WILLIAMTOWN-RAAF,61078,-32.79,151.84,r1i1p1,rcp45,NorESM1-M,2020-2039,72.69,73.19,78.17,74.8,64.62,73.64,71.82,72.69,77.99,78.15,76.48,79.88,77.9,76.68,69.81,64.65,61.99,67.21,68.88
WOOMERA-AERODROME,16001,-31.16,136.81,r1i1p1,rcp45,NorESM1-M,2020-2039,52.76,42.81,54.75,68.12,45.3,45.54,60.05,42.38,43.27,50.97,49.56,63.73,71.64,71.17,61.56,49.14,43.04,43.71,42.9
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,r1i1p1,rcp45,NorESM1-M,2040-2059,62.65,54.59,64.32,74.99,56.65,56.28,69.01,54.78,54.62,59.09,61.37,72.5,79.21,77.25,68.52,61.66,54.9,53.39,54.49
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,r1i1p1,rcp45,NorESM1-M,2040-2059,72.87,64.2,75.3,81.73,70.33,67.62,78.2,63.89,64.86,71.35,75.03,79.52,83.49,82.35,79.34,75.47,69.04,66.47,63.68
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,r1i1p1,rcp45,NorESM1-M,2040-2059,42.02,33.98,47.67,54.47,32.12,36.32,47.79,29.33,41.48,40.64,45.93,56.45,66.51,55.85,41.04,34.4,32.5,29.46,30.65
AMBERLEY-AMO,40004,-27.63,152.71,r1i1p1,rcp45,NorESM1-M,2040-2059,67.37,66.54,72.43,72.21,58.34,66.55,68.23,65.12,71.15,69.33,71.5,76.46,77.66,73.24,65.71,58.66,57.66,58.69,63.29
BRISBANE-AERO,40842,-27.39,153.13,r1i1p1,rcp45,NorESM1-M,2040-2059,65.62,66.8,70.22,65.89,59.54,66.73,64.49,65.48,70.75,69.32,69.93,71.41,69.76,67.03,60.89,58.53,59.29,60.81,64.27
BROOME-AIRPORT,3003,-17.95,122.23,r1i1p1,rcp45,NorESM1-M,2040-2059,56.67,70.72,58.79,43.22,53.96,66.55,46.8,70.65,76.9,71.82,56.18,48.37,46.67,41.44,41.56,48.52,54.26,59.09,64.58
CAIRNS-AERO,31011,-16.87,145.75,r1i1p1,rcp45,NorESM1-M,2040-2059,73.76,75.67,77.81,73.1,68.41,75.46,72.08,75.24,79.51,77.71,78.49,77.23,75.01,73.58,70.71,68.76,67.19,69.28,72.39
CANBERRA-AIRPORT-COMPARISON,70014,-35.3,149.2,r1i1p1,rcp45,NorESM1-M,2040-2059,71.77,65.77,75.01,81.06,65.11,67.56,75.93,65.42,70.99,70.13,73.64,81.25,84.25,83.89,75.05,68.84,62.29,64.19,61.26
CARNARVON-AIRPORT,6011,-24.89,113.67,r1i1p1,rcp45,NorESM1-M,2040-2059,56.2,56.78,55.49,61.79,50.73,55.11,57.29,57.06,58.11,56.6,53.24,56.63,61.9,64.5,58.96,52.07,49.68,50.45,55.15
CEDUNA-AMO,18012,-32.13,133.7,r1i1p1,rcp45,NorESM1-M,2040-2059,63.51,59.59,66.21,73.2,55.11,59.75,67.39,57.72,63.71,63.93,63.1,71.6,77.27,74.84,67.48,60.97,52.17,52.21,57.09
CHARLEVILLE-AERO,44021,-26.42,146.25,r1i1p1,rcp45,NorESM1-M,2040-2059,49.78,47.13,52.59,59.22,40.05,46.32,53.14,43.87,59.21,46.38,51.35,60.05,67.44,62.27,47.96,40.98,40.16,39,38.77
COBAR-MO,48027,-31.49,145.83,r1i1p1,rcp45,NorESM1-M,2040-2059,56.08,44.68,59.6,72.37,47.54,47.8,64.38,42.56,52.34,50.85,57,70.95,78.24,75.45,63.41,51.92,46.29,44.42,39.47
COFFS-HARBOUR-MO,59040,-30.31,153.12,r1i1p1,rcp45,NorESM1-M,2040-2059,66.59,71.2,71.66,64.75,58.77,70.31,62.88,70.15,76.73,74.34,69.47,71.17,69.68,66.73,57.85,54.77,57.08,64.46,66.65
DARWIN-AIRPORT,14015,-12.42,130.89,r1i1p1,rcp45,NorESM1-M,2040-2059,71.18,79.91,74.15,59.71,71.01,78.17,64.23,80.48,83.75,81.28,75.63,65.54,57.79,59.56,61.79,69.93,70.76,72.35,75.35
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,r1i1p1,rcp45,NorESM1-M,2040-2059,68.75,58.42,70.42,83.66,62.29,60.83,76.76,57.14,65.2,63.77,67.87,79.61,86.93,85.82,77.79,69.75,59.34,57.32,53.12
EAST-SALE-AIRPORT,85072,-38.12,147.13,r1i1p1,rcp45,NorESM1-M,2040-2059,77.43,74.12,81.91,82.42,71.2,75.58,79.26,74.25,78.11,80.16,80.68,84.91,84.19,84.34,78.73,74.66,68.77,70.19,70.17
ESPERANCE,9789,-33.83,121.89,r1i1p1,rcp45,NorESM1-M,2040-2059,65.35,59.22,68.73,73.15,60.49,61.3,69.53,58.09,59.4,65.14,68.43,72.61,74.98,73.99,70.48,66.03,59.07,56.38,59.57
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,r1i1p1,rcp45,NorESM1-M,2040-2059,57.66,47.48,56.33,73.02,53.92,48.85,66.58,48.15,47.53,51.61,54.37,63,70.91,74.97,73.18,66.07,51.32,44.38,46.48
